index,mobile_number,arpu_6,arpu_7,arpu_8,onnet_mou_6,onnet_mou_7,onnet_mou_8,offnet_mou_6,offnet_mou_7,offnet_mou_8,roam_ic_mou_6,roam_ic_mou_7,roam_ic_mou_8,roam_og_mou_6,roam_og_mou_7,roam_og_mou_8,total_og_mou_6,total_og_mou_7,total_og_mou_8,total_ic_mou_6,total_ic_mou_7,total_ic_mou_8,total_rech_num_6,total_rech_num_7,total_rech_num_8,total_rech_amt_6,total_rech_amt_7,total_rech_amt_8,total_rech_data_6,total_rech_data_7,total_rech_data_8,av_rech_amt_data_6,av_rech_amt_data_7,av_rech_amt_data_8,aon,sms_ic_6,sms_ic_7,sms_ic_8,sms_og_6,sms_og_7,sms_og_8,churn,days_since_last_rech_6,days_since_last_rech_7,days_since_last_rech_8,days_since_last_rech_data_6,days_since_last_rech_data_7,days_since_last_rech_data_8,count_2g3g,vol_2g3g,monthly_2g3g,segment
30917,7001419644,706.169,644.565,697.949,151.19,164.61,232.64,475.33,772.09,693.63,55.83,0.0,24.46,42.96,0.0,109.69,583.56,936.71,818.76,345.84,467.61,419.74,16,11,17,976,727,850,2.0,3.0,2.0,223.0,69.0,46.0,86.76666666666668,40,26,2,29,8,17,0,0.0,2.0,1.0,3.0,5.0,22.0,1.0,2.395,0.0,2
27672,7001581525,553.153,789.669,936.85,543.96,591.71,175.11,191.51,159.24,272.14,0.0,0.0,0.0,0.0,0.0,0.0,735.48,750.96,447.26,1037.36,892.56,534.06,5,4,6,658,989,1098,0.0,1.0,2.0,0.0,252.0,450.0,121.7,1,12,17,11,3,20,0,12.0,7.0,7.0,60.0,23.0,13.0,1.0,781.695,1.0,2
25585,7000275447,782.845,338.6690000000001,300.921,2.54,0.68,0.0,57.21,9.29,2.18,0.0,0.0,0.0,0.0,0.0,0.0,62.19,11.71,2.18,67.19,59.53,98.19,9,10,10,921,395,355,3.0,7.0,8.0,381.0,351.0,318.0,12.366666666666667,29,12,17,0,11,10,0,2.0,5.0,1.0,6.0,5.0,1.0,4.0,349.385,0.0,2
15140,7002073138,372.89599999999996,416.58099999999996,399.651,409.31,479.93,515.43,336.64,269.61,224.54,0.0,0.0,0.0,0.0,0.0,0.0,745.96,749.54,739.98,354.54,507.68,605.29,10,12,10,504,377,497,5.0,5.0,4.0,115.0,115.0,92.0,84.6,17,13,12,6,11,18,0,0.0,0.0,0.0,4.0,0.0,7.0,2.0,0.0,0.0,2
10452,7002251921,371.412,185.896,254.017,10.63,16.03,10.04,69.59,198.14,79.03,0.0,0.0,0.0,0.0,0.0,0.0,80.23,214.18,89.08,343.43,477.04,554.86,14,11,15,428,223,284,2.0,1.0,1.0,308.0,154.0,154.0,45.3,4,4,4,21,1,16,0,3.0,0.0,4.0,3.0,30.0,4.0,0.5,446.285,0.5,2
60800,7001413223,418.298,401.4,409.85,21.98,17.49,20.01,136.49,71.01,54.23,0.0,0.0,17.79,0.0,0.0,15.54,158.48,89.33,58.69,230.78,178.71,122.34,11,10,4,650,220,434,4.0,3.0,1.0,2000.0,1759.0,755.0,69.3,40,3,23,4,0,7,0,6.0,6.0,10.0,7.0,6.0,11.0,0.5,6015.315000000001,0.5,2
90595,7001632132,871.7230000000003,605.678,774.245,143.84,112.26,76.61,559.53,452.04,286.48,0.0,0.0,15.96,0.0,0.0,3.51,703.38,566.34,359.58,559.81,631.56,517.54,9,5,5,986,1015,721,2.0,1.0,1.0,352.0,198.0,154.0,93.1,25,29,5,26,9,11,0,12.0,1.0,12.0,12.0,15.0,12.0,0.5,212.76,0.5,2
64016,7000600174,281.30400000000003,414.23400000000004,195.132,75.14,89.54,152.09,108.59,143.24,122.29,0.0,0.0,0.0,0.0,0.0,0.0,183.74,232.79,274.39,165.64,123.56,128.79,7,7,6,421,451,197,1.0,1.0,3.0,154.0,274.0,69.0,42.8,7,22,15,7,24,12,0,2.0,5.0,1.0,17.0,20.0,1.0,1.5,369.04,0.0,2
37196,7001500853,360.13199999999995,382.809,394.171,4.39,6.28,8.78,246.71,232.06,314.98,0.0,0.0,0.0,0.0,0.0,0.0,251.11,238.34,323.76,281.24,269.01,302.43,3,7,7,198,525,547,1.0,1.0,1.0,198.0,198.0,198.0,121.7,33,20,17,20,24,19,0,3.0,5.0,5.0,13.0,15.0,18.0,0.5,685.0250000000002,0.5,2
67256,7000745471,417.222,541.644,363.341,229.99,178.93,325.78,590.74,795.01,565.79,0.0,0.0,0.0,0.0,0.0,0.0,820.74,973.94,891.58,80.14,146.43,183.06,8,15,11,497,624,440,1.0,7.0,2.0,23.0,161.0,46.0,36.6,2,29,20,32,6,21,0,0.0,1.0,0.0,0.0,2.0,23.0,1.0,0.0,0.0,2
88116,7001776796,455.245,557.195,521.673,139.09,168.41,78.38,144.68,110.58,113.01,0.0,0.0,0.0,0.0,0.0,0.0,286.56,282.33,192.74,310.69,163.04,139.49,10,9,6,728,465,776,1.0,2.0,2.0,198.0,206.0,446.0,39.2,0,0,3,18,7,13,0,8.0,5.0,0.0,22.0,24.0,0.0,1.0,293.295,1.0,2
26556,7001289181,379.13,129.996,322.563,37.94,13.63,53.51,334.78,98.48,139.93,0.0,0.0,0.0,0.0,0.0,0.0,372.73,112.11,193.44,166.74,121.68,68.66,14,7,15,430,160,360,0.0,0.0,7.0,0.0,0.0,175.0,93.86666666666666,17,14,17,28,10,5,0,2.0,1.0,3.0,60.0,60.0,7.0,3.5,203.4,0.0,2
15474,7001996184,200.49400000000003,739.127,276.404,50.21,58.14,65.11,64.26,228.09,47.43,0.0,0.0,0.0,0.0,0.0,0.0,114.48,286.24,112.54,99.24,145.51,168.13,4,3,3,504,504,650,1.0,2.0,1.0,154.0,504.0,252.0,82.4,34,27,18,25,7,20,0,2.0,2.0,9.0,23.0,2.0,9.0,0.5,539.78,0.5,2
37595,7001847761,360.034,511.369,434.251,13.19,28.53,52.53,92.28,115.96,184.23,0.0,0.0,0.0,0.0,0.0,0.0,110.31,147.71,240.18,320.24,351.19,354.39,28,34,30,391,592,493,13.0,19.0,6.0,249.0,347.0,118.0,34.03333333333333,4,26,19,25,2,13,0,1.0,0.0,0.0,1.0,0.0,24.0,3.0,194.93,0.0,2
16719,7000445145,985.058,773.5989999999997,370.015,297.74,188.64,84.61,213.73,229.04,193.61,0.0,0.0,0.0,0.0,0.0,0.0,523.11,445.46,280.73,502.03,720.99,1743.88,8,10,6,1203,991,333,1.0,1.0,1.0,655.0,154.0,145.0,21.63333333333333,32,7,7,6,23,13,0,1.0,3.0,4.0,14.0,11.0,17.0,0.5,385.7,0.5,2
47277,7001041726,477.093,942.9760000000001,1021.6619999999999,67.89,35.69,45.63,241.36,907.86,596.91,0.0,0.0,28.13,0.0,0.0,24.74,309.26,943.56,617.79,181.58,188.84,172.93,5,7,7,502,1138,1556,1.0,2.0,3.0,252.0,504.0,756.0,11.333333333333336,0,21,23,15,3,3,0,16.0,8.0,3.0,23.0,8.0,3.0,1.5,1435.375,1.5,2
26688,7000270922,256.423,436.60400000000004,562.085,87.73,98.64,96.18,85.53,161.89,178.34,0.0,0.0,0.0,0.0,0.0,0.0,173.26,260.96,281.71,232.43,230.93,428.63,6,9,5,270,691,352,1.0,1.0,1.0,41.0,154.0,154.0,35.166666666666664,41,26,22,5,16,9,0,3.0,1.0,7.0,4.0,27.0,29.0,0.5,296.37,0.5,2
67516,7000029959,368.95599999999996,283.363,290.14,116.81,58.61,19.83,66.59,25.58,104.41,0.0,0.0,0.0,0.0,0.0,0.0,187.58,86.58,128.86,184.03,73.29,77.49,27,18,21,417,327,329,5.0,8.0,8.0,103.0,168.0,200.0,8.866666666666667,20,13,11,23,10,1,0,0.0,4.0,2.0,1.0,14.0,2.0,4.0,286.11,0.0,2
38709,7000416307,163.645,1176.987,1843.0770000000002,5.01,14.98,14.89,10.63,41.33,30.78,0.0,0.0,0.0,0.0,0.0,0.0,15.65,59.43,47.11,19.96,84.64,77.73,13,42,52,192,1400,2197,5.0,30.0,44.0,167.0,513.0,945.5,20.666666666666668,4,17,5,12,15,11,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5558.805,0.0,2
53575,7001552200,602.1659999999998,496.55699999999996,861.9860000000001,56.78,54.86,59.74,388.93,416.46,413.33,73.44,0.0,0.0,68.56,0.0,0.0,377.14,471.33,473.08,521.79,874.21,871.46,7,5,7,754,554,1050,1.0,1.0,1.0,154.0,154.0,252.0,52.6,40,11,6,36,3,5,0,8.0,7.0,10.0,9.0,11.0,10.0,0.5,139.565,0.5,2
49563,7000913549,731.0239999999999,486.645,407.199,903.41,288.18,36.61,133.46,288.04,239.43,0.0,0.0,0.0,0.0,0.0,0.0,1039.11,576.23,276.83,234.13,160.89,140.34,14,6,10,853,577,531,2.0,1.0,1.0,290.0,179.0,179.0,33.266666666666666,37,18,15,18,3,18,0,1.0,7.0,2.0,1.0,7.0,13.0,0.5,389.62,0.5,2
98979,7000083252,1419.971,748.0260000000003,586.043,128.13,171.99,72.91,1030.54,377.39,426.29,46.48,0.0,7.91,504.41,0.0,72.74,655.74,549.39,426.46,433.76,368.14,276.16,17,8,7,1638,746,738,1.0,2.0,1.0,198.0,396.0,198.0,6.7333333333333325,6,26,18,8,20,4,0,0.0,4.0,0.0,24.0,4.0,8.0,0.5,1045.755,0.5,2
38215,7002006913,282.607,305.819,287.775,1.36,2.65,2.05,160.58,180.96,266.08,0.0,0.0,0.0,0.0,0.0,0.0,161.94,184.86,269.29,24.71,3.83,14.73,17,20,18,344,360,326,7.0,6.0,7.0,57.0,79.5,175.0,18.33333333333333,7,2,2,22,10,16,0,0.0,4.0,0.0,0.0,11.0,13.0,3.5,193.53,0.0,2
80136,7000142294,523.982,426.82199999999995,874.551,72.58,37.41,73.34,250.89,196.73,222.08,0.0,0.0,0.0,0.0,0.0,0.0,326.78,236.86,308.83,204.48,176.83,317.51,7,5,7,568,518,1060,1.0,1.0,2.0,252.0,252.0,504.0,43.96666666666667,32,12,2,19,0,0,0,4.0,6.0,0.0,6.0,10.0,0.0,1.0,743.92,1.0,2
89711,7000114330,704.701,606.742,379.208,581.09,233.43,184.99,510.31,521.81,304.61,0.0,0.0,0.0,0.0,0.0,0.0,1112.54,765.59,496.81,180.54,157.51,174.29,12,13,11,887,762,390,1.0,1.0,4.0,23.0,23.0,92.0,35.833333333333336,17,5,1,32,21,6,0,1.0,0.0,0.0,7.0,24.0,0.0,2.0,1.325,0.0,2
99621,7000546516,526.8340000000002,392.53,856.9019999999997,37.41,2.91,0.0,207.38,99.83,74.49,0.0,0.0,0.0,0.0,0.0,0.0,244.79,105.56,74.49,234.21,412.21,141.48,5,5,5,508,798,506,1.0,1.0,2.0,198.0,198.0,396.0,23.6,26,26,20,5,10,12,0,3.0,9.0,6.0,25.0,27.0,6.0,1.0,827.215,1.0,2
24447,7000077316,522.528,691.52,761.553,3.68,6.04,3.63,172.53,138.64,59.41,0.0,0.0,0.0,0.0,0.0,0.0,176.21,153.08,65.19,201.79,204.53,36.58,11,15,11,534,826,899,3.0,4.0,3.0,334.0,534.0,649.0,6.166666666666668,3,19,2,9,24,0,0,0.0,2.0,1.0,3.0,11.0,1.0,1.5,744.5649999999997,1.5,2
16692,7000024566,364.784,325.165,356.31800000000015,69.44,26.53,42.54,83.98,109.56,65.39,0.0,0.0,0.0,0.0,0.0,0.0,165.73,160.21,156.54,536.88,720.61,620.83,39,36,39,410,364,404,7.0,6.0,16.0,17.0,46.0,47.5,6.633333333333334,23,8,15,21,11,11,0,0.0,0.0,3.0,0.0,0.0,3.0,8.0,125.97,0.0,2
14245,7000640065,407.999,247.61,477.05800000000005,296.88,421.84,574.71,147.31,87.41,129.61,0.0,0.0,0.0,0.0,0.0,0.0,444.71,510.38,704.33,176.48,107.29,172.01,7,3,13,486,237,684,0.0,1.0,8.0,0.0,17.0,200.0,21.73333333333333,25,1,6,12,5,5,0,1.0,17.0,0.0,60.0,17.0,0.0,4.0,157.475,0.0,2
73342,7001599146,228.687,458.719,248.389,36.89,45.91,35.43,171.69,153.41,203.23,212.88,181.33,68.81,187.21,173.74,95.13,23.93,27.26,146.58,24.31,46.44,205.26,11,9,21,263,519,251,3.0,4.0,4.0,75.0,608.0,608.0,11.666666666666664,11,4,17,10,13,11,0,4.0,4.0,1.0,14.0,4.0,1.0,2.0,656.36,0.0,2
69580,7001510994,1444.2879999999998,923.123,1064.2169999999999,75.49,63.66,90.66,279.01,308.59,302.16,0.0,0.0,0.0,0.0,0.0,0.0,354.51,372.26,392.83,464.38,365.09,454.74,8,5,6,1804,902,1304,4.0,2.0,4.0,608.0,304.0,608.0,95.63333333333334,8,9,19,23,8,15,0,2.0,7.0,4.0,2.0,14.0,12.0,2.0,334.5900000000001,0.0,2
44586,7001022613,426.455,476.065,420.384,175.73,268.63,228.24,298.53,532.63,274.99,0.0,0.0,0.0,0.0,0.0,0.0,474.26,802.24,504.13,498.33,843.43,337.08,7,3,4,415,448,815,1.0,2.0,1.0,98.0,196.0,274.0,82.36666666666666,6,16,11,28,1,7,0,13.0,2.0,5.0,14.0,2.0,12.0,0.5,211.975,0.5,2
58617,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
39132,7000675242,515.013,438.727,571.318,129.81,8.66,30.64,361.69,466.33,281.59,0.0,0.0,0.0,0.0,0.0,0.0,491.51,481.59,314.31,342.68,711.24,374.21,8,11,13,482,540,652,1.0,0.0,1.0,252.0,0.0,252.0,52.83333333333334,6,28,11,9,23,20,0,1.0,6.0,3.0,24.0,60.0,24.0,0.5,983.995,0.5,2
3167,7000629388,669.049,689.9989999999997,800.932,162.39,150.51,183.93,676.68,848.59,885.28,0.0,0.0,0.0,0.0,0.0,0.0,839.08,999.11,1069.21,370.93,568.61,389.94,6,3,8,221,1221,221,1.0,1.0,1.0,154.0,154.0,154.0,70.93333333333334,30,0,2,28,12,12,0,6.0,5.0,1.0,13.0,15.0,18.0,0.5,73.39,0.5,2
23350,7000266232,856.32,613.394,1191.12,126.81,97.14,66.58,156.86,293.94,169.53,68.74,0.0,61.51,102.28,0.0,33.33,181.96,391.86,203.89,361.76,879.34,604.58,10,9,8,850,686,1250,4.0,3.0,2.0,700.0,294.0,196.0,9.5,32,16,24,25,22,22,0,7.0,9.0,6.0,7.0,9.0,10.0,1.0,519.735,0.0,2
64558,7000051867,451.86199999999997,325.589,253.50400000000002,14.38,25.66,17.44,165.86,138.79,22.28,98.09,0.0,0.0,32.33,0.0,0.0,147.91,166.06,39.99,46.83,99.68,73.11,24,21,14,521,357,296,11.0,6.0,9.0,284.0,183.0,258.0,7.1,22,1,3,15,25,3,0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,463.965,0.0,2
1239,7001697893,260.885,396.556,371.736,0.0,0.68,0.0,0.0,5.04,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,4.66,197.69,171.86,172.46,5,6,3,308,510,396,2.0,4.0,2.0,308.0,612.0,396.0,97.46666666666668,2,17,17,29,20,13,0,12.0,1.0,14.0,12.0,5.0,14.0,1.0,2225.69,1.0,2
40719,7000984603,700.807,495.853,811.132,321.14,139.21,474.21,670.03,433.04,567.91,0.0,150.58,122.83,0.0,205.39,259.69,991.18,366.86,786.26,131.41,79.49,257.71,27,19,24,811,582,928,3.0,1.0,7.0,75.0,25.0,232.0,45.63333333333333,18,22,0,7,24,4,0,0.0,0.0,1.0,5.0,26.0,12.0,3.5,158.255,0.0,2
74321,7002104271,124.02600000000001,337.806,468.371,0.23,8.48,7.36,25.08,50.54,119.89,0.0,0.0,0.0,0.0,0.0,0.0,25.91,63.78,133.66,39.26,65.63,126.16,13,25,35,158,367,536,5.0,6.0,11.0,85.0,131.0,102.5,17.866666666666667,31,6,12,0,5,4,0,0.0,1.0,0.0,0.0,1.0,0.0,5.5,414.16,0.0,2
60570,7000819028,313.487,319.496,353.70599999999996,14.91,4.71,11.21,39.99,75.29,137.13,0.0,0.0,0.0,0.0,0.0,0.0,54.91,80.04,148.34,7.94,22.89,31.46,6,7,7,282,414,372,2.0,2.0,2.0,275.0,275.0,275.0,34.166666666666664,3,16,12,22,11,7,0,8.0,3.0,3.0,8.0,3.0,13.0,1.0,540.86,0.5,2
20178,7002071503,494.13300000000004,813.7189999999997,888.602,505.16,287.44,423.89,387.06,382.19,570.61,0.0,5.71,7.21,0.0,68.56,38.38,892.23,601.08,956.13,168.94,134.31,148.39,9,21,31,516,1033,960,0.0,9.0,8.0,0.0,217.0,200.0,29.4,14,28,3,16,12,15,0,7.0,0.0,1.0,60.0,5.0,2.0,4.0,305.9500000000001,0.0,2
65581,7001131990,329.73800000000006,339.001,415.76099999999997,40.43,24.83,20.18,148.31,89.03,114.34,0.0,0.0,0.0,0.0,0.0,0.0,188.74,123.48,134.53,317.74,409.31,124.24,4,5,3,436,436,328,1.0,1.0,1.0,198.0,198.0,198.0,14.633333333333333,38,19,17,24,14,20,0,0.0,1.0,3.0,19.0,20.0,24.0,0.5,130.415,0.5,2
56446,7000695063,298.556,453.22,475.18800000000016,10.69,17.09,132.33,228.18,444.61,403.26,0.0,0.0,0.0,0.0,0.0,0.0,238.88,461.71,535.59,44.74,177.78,69.94,2,4,5,502,402,579,1.0,1.0,1.0,252.0,252.0,252.0,9.966666666666667,17,20,7,25,8,13,0,19.0,4.0,4.0,19.0,8.0,17.0,0.5,649.065,0.5,2
6657,7001375304,759.79,852.433,883.564,501.34,442.94,565.59,424.83,452.08,495.21,0.0,0.0,0.0,0.0,0.0,0.0,926.18,898.79,1060.81,685.76,614.91,460.58,16,20,22,918,1025,1119,2.0,5.0,4.0,82.0,85.0,139.0,110.56666666666666,34,19,0,13,6,3,0,1.0,1.0,0.0,17.0,2.0,6.0,2.0,157.49,0.0,2
27039,7002145466,424.273,275.665,234.75,42.54,8.36,8.24,85.71,54.63,41.24,27.59,0.0,0.0,6.54,0.0,0.0,121.71,62.99,49.49,139.23,75.93,27.26,3,4,3,374,384,254,1.0,1.0,1.0,154.0,154.0,154.0,12.533333333333333,13,17,22,4,5,2,0,5.0,9.0,7.0,5.0,9.0,23.0,0.5,68.135,0.5,2
71747,7000595074,1262.925,3514.388,3482.6490000000013,57.93,671.61,368.98,7.15,17.89,3.69,0.0,0.0,1105.41,0.0,0.0,60.48,65.86,694.33,321.44,440.73,5689.51,2171.74,7,20,14,1449,4216,3244,1.0,6.0,4.0,252.0,1512.0,1008.0,39.66666666666666,8,1,17,8,13,10,0,0.0,1.0,2.0,1.0,3.0,3.0,2.0,1854.685,2.0,2
89261,7001930373,985.625,625.903,1006.55,134.84,65.96,73.28,654.56,393.06,718.44,181.64,0.0,0.0,286.21,0.0,0.0,503.19,459.03,791.73,334.91,218.13,324.59,11,5,7,1390,620,1186,0.0,1.0,1.0,0.0,252.0,252.0,81.66666666666667,39,23,24,16,3,12,0,2.0,8.0,7.0,60.0,26.0,28.0,0.5,220.0,0.5,2
36406,7001948997,736.784,167.55200000000005,471.338,622.74,307.54,275.48,30.64,25.99,41.68,0.18,0.83,0.2,8.86,6.53,1.63,644.53,327.01,315.53,30.71,18.03,65.79,11,5,11,802,180,625,2.0,0.0,5.0,308.0,0.0,377.0,28.83333333333333,16,6,15,11,23,8,0,0.0,11.0,1.0,0.0,60.0,1.0,2.5,201.07,1.0,2
